State,url,rule,name
Andaman & Nicobar,https://andaman.gov.in,andaman,Andaman_and_Nicobar
Andhra Pradesh,https://tourism.ap.gov.in,tourism,Andhra_Pradesh
Arunachal Pradesh,https://arunachaltourism.com,arunachaltourism,Arunachal_Pradesh
Assam,https://tourism.assam.gov.in,tourism,Assam
Bihar,https://bihartourism.gov.in,bihartourism,Bihar
Chandigarh,https://chandigarhtourism.gov.in,chandigarhtourism,Chandigarh
Chhattisgarh,https://chhattisgarhtourism.cg.gov.in,chhattisgarhtourism,Chhattisgarh
Dadra & Nagar Haveli,https://tourismdddnh.in,tourismdddnh,Dadra_and_Nagar_Haveli
Daman & Diu,https://tourismdddnh.in,tourismdddnh,Daman_and_Diu
Goa,https://goa-tourism.com,goa-tourism,Goa
Gujarat,https://gujarattourism.com,gujarattourism,Gujarat
Haryana,https://haryanatourism.gov.in,haryanatourism,Haryana
Himachal Pradesh,https://himachaltourism.gov.in,himachaltourism,Himachal_Pradesh
Jammu & Kashmir,https://jammutourism.gov.in,jammutourism,Jammu_and_Kashmir
Ladakh,https://ladakh.nic.in,ladakh,Ladakh
Jharkhand,https://tourism.jharkhand.gov.in,tourism,Jharkhand
Karnataka,https://karnatakatourism.org,karnatakatourism,Karnataka
Kerala,https://keralatourism.org,keralatourism,Kerala
Lakshadweep,https://lakshadweeptourism.com,lakshadweeptourism,Lakshadweep
Madhya Pradesh,https://mptourism.com,mptourism,Madhya_Pradesh
Maharashtra,https://maharashtratourism.gov.in,maharashtratourism,Maharashtra
Manipur,https://manipurtourism.gov.in,manipurtourism,Manipur
Meghalaya,https://meghalayatourism.in,meghalayatourism,Meghalaya
Mizoram,https://tourism.mizoram.gov.in,tourism,Mizoram
Nagaland,https://tourismnagaland.com,tourismnagaland,Nagaland
Delhi,https://delhitourism.gov.in,delhitourism,Delhi
Odisha,https://odishatourism.gov.in,odishatourism,Odisha
Puducherry,https://pondytourism.in,pondytourism,Puducherry
Punjab,https://punjabtourism.punjab.gov.in,punjabtourism,Punjab
Rajasthan,https://tourism.rajasthan.gov.in,tourism,Rajasthan
Sikkim,https://sikkimtourism.gov.in,sikkimtourism,Sikkim
Tamil Nadu,https://tamilnadutourism.org,tamilnadutourism,Tamil_Nadu
Telangana,https://telanganatourism.gov.in,telanganatourism,Telangana
Tripura,https://tripuratourism.gov.in,tripuratourism,Tripura
Uttar Pradesh,https://uptourism.gov.in,uptourism,Uttar_Pradesh
Uttarakhand,https://uttarakhandtourism.gov.in,uttarakhandtourism,Uttarakhand
West Bengal,https://wbtourismgov.in,wbtourismgov,West_Bengal
